title,lang,source_name,format,category,license,text,sentences,cefr_level
0428.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Hello, I'm {name}. I have a big family: I have two parents, six sisters any brother but I have three brothers-in-law and one niece. My niece, her mother and the sister's husband live in Italy. I have also twenty-nine cousins and fourten uncle and tant","I have a big family: I have two parents, six sisters any brother but I have three brothers-in-law and one niece.",A1
0428.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Hello, I'm {name}. I have a big family: I have two parents, six sisters any brother but I have three brothers-in-law and one niece. My niece, her mother and the sister's husband live in Italy. I have also twenty-nine cousins and fourten uncle and tant","My niece, her mother and the sister's husband live in Italy.",A1
0430.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My family is happy , it is a beautiful family. In my family we are strongh serious , enjoy , every body is happy. their . My mather wonderfull woman. My family is wonderful family",My family is wonderful family,A1
0439.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like travelling. My favourite country is South Africa with the bush, animals and beautiful landscape. People is fantastict with a very good bevahiour. I like gardening. It is a moment where i don't never thing. I like cooking.",I like cooking.,A1
0423.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I haven't many hobbies. I'm working like teacher in a primary school and prepare some activities for my students is my favorite hobby. Also, i like to go shopping with my daughter and my friends, to walk outside when the weather is good. I don't like sport very much, but roll on my bicycle when the sun is, is very enjoy for me!",I'm working like teacher in a primary school and prepare some activities for my students is my favorite hobby.,A1
0436.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"We are three at home.  My daughter have 15 years, she is called {name}.  My husband work as employee.  We live in the country.  I'm work at Brussels in the public sector and I take the train for at working.",I'm work at Brussels in the public sector and I take the train for at working.,A1
0436.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"We are three at home.  My daughter have 15 years, she is called {name}.  My husband work as employee.  We live in the country.  I'm work at Brussels in the public sector and I take the train for at working.",My husband work as employee.,A1
0433.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My favorit hobbie's running in nature.  I like it, it's fun,  and after, i'm relaxed for any time!  I should like progress, step by step!   The running, is verry important for my self!  :-)","The running, is verry important for my self!  :-)",A1
0436.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"We are three at home.  My daughter have 15 years, she is called {name}.  My husband work as employee.  We live in the country.  I'm work at Brussels in the public sector and I take the train for at working.",We are three at home.,A1
0442.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like my job,i'm a butcher. I'm work in a hypermarché in a good team. I like and eat meat everyday. My boss is a women,a very good boss. She work like a man.","My boss is a women,a very good boss.",A1
0452.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I was go to Canada in 1984 for holidays. I have 19 years old ,, it was very fantastic! Peoples are very cool ! I have visited Montreal , Quebec and remonted the St Laurent just the Sagnay. I have make camping in the largest  forests whive wilds animals: burns, eagles ....I have fisching in the wilds rivers and swimming in the lakes. I hope go to the Middle West in USA next time whive my wife. I like travels and holidays","I have 19 years old ,, it was very fantastic!",A1
0003.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,My name is {name},My name is {name},A1
0431.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"At home, my hobbies are sudoku, to watch télévision and  the BD.  I like to travelling with my familly in the different country in the world.  i visit the muséum and the city with my camping-car","At home, my hobbies are sudoku, to watch télévision and  the BD.",A1
0423.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I haven't many hobbies. I'm working like teacher in a primary school and prepare some activities for my students is my favorite hobby. Also, i like to go shopping with my daughter and my friends, to walk outside when the weather is good. I don't like sport very much, but roll on my bicycle when the sun is, is very enjoy for me!",I haven't many hobbies.,A1
0426.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like sport. 3 times in week i run. I pratice a chinese martial art: this is the wing tchun, it's a style of kung-fu. When i have times i watch movies in cinema. I like go to visit another city and another country. when i have time i go on internet for listen musique.",I like go to visit another city and another country. when i have time i go on internet for listen musique.,A1
0434.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I usually get up at 7:00 in the morning. I have lunch and then take a shower. I share then work until 17:00. Go home, i eat dinner I then watch a little tv news. Then i go to bed.",I have lunch and then take a shower.,A1
0439.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like travelling. My favourite country is South Africa with the bush, animals and beautiful landscape. People is fantastict with a very good bevahiour. I like gardening. It is a moment where i don't never thing. I like cooking.",I like gardening.,A1
0426.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like sport. 3 times in week i run. I pratice a chinese martial art: this is the wing tchun, it's a style of kung-fu. When i have times i watch movies in cinema. I like go to visit another city and another country. when i have time i go on internet for listen musique.",When i have times i watch movies in cinema.,A1
0079.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,I would like a family with a man and 2 children.,I would like a family with a man and 2 children.,A1
0006.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I get up at 7 am on a weekly day, i go to my lessons. And when i come back at home in the evening, ik study a little bit, watch tv, play video games and then i go to sleep at 11 pm.","And when i come back at home in the evening, ik study a little bit, watch tv, play video games and then i go to sleep at 11 pm.",A1
0452.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I was go to Canada in 1984 for holidays. I have 19 years old ,, it was very fantastic! Peoples are very cool ! I have visited Montreal , Quebec and remonted the St Laurent just the Sagnay. I have make camping in the largest  forests whive wilds animals: burns, eagles ....I have fisching in the wilds rivers and swimming in the lakes. I hope go to the Middle West in USA next time whive my wife. I like travels and holidays",I like travels and holidays,A1
0442.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like my job,i'm a butcher. I'm work in a hypermarché in a good team. I like and eat meat everyday. My boss is a women,a very good boss. She work like a man.",I like and eat meat everyday.,A1
0009.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,In my daily life i go to class has the university. The rest of the time i ride horse. After horseriding i study for university and for work for the exams.,After horseriding i study for university and for work for the exams.,A1
0428.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Hello, I'm {name}. I have a big family: I have two parents, six sisters any brother but I have three brothers-in-law and one niece. My niece, her mother and the sister's husband live in Italy. I have also twenty-nine cousins and fourten uncle and tant","Hello, I'm {name}.",A1
0423.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I haven't many hobbies. I'm working like teacher in a primary school and prepare some activities for my students is my favorite hobby. Also, i like to go shopping with my daughter and my friends, to walk outside when the weather is good. I don't like sport very much, but roll on my bicycle when the sun is, is very enjoy for me!","Also, i like to go shopping with my daughter and my friends, to walk outside when the weather is good.",A1
0442.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like my job,i'm a butcher. I'm work in a hypermarché in a good team. I like and eat meat everyday. My boss is a women,a very good boss. She work like a man.",I'm work in a hypermarché in a good team.,A1
0431.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"At home, my hobbies are sudoku, to watch télévision and  the BD.  I like to travelling with my familly in the different country in the world.  i visit the muséum and the city with my camping-car",I like to travelling with my familly in the different country in the world.  i visit the muséum and the city with my camping-car,A1
0433.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My favorit hobbie's running in nature.  I like it, it's fun,  and after, i'm relaxed for any time!  I should like progress, step by step!   The running, is verry important for my self!  :-)","I like it, it's fun,  and after, i'm relaxed for any time!",A1
0442.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like my job,i'm a butcher. I'm work in a hypermarché in a good team. I like and eat meat everyday. My boss is a women,a very good boss. She work like a man.",She work like a man.,A1
0430.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My family is happy , it is a beautiful family. In my family we are strongh serious , enjoy , every body is happy. their . My mather wonderfull woman. My family is wonderful family","In my family we are strongh serious , enjoy , every body is happy. their .",A1
0452.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I was go to Canada in 1984 for holidays. I have 19 years old ,, it was very fantastic! Peoples are very cool ! I have visited Montreal , Quebec and remonted the St Laurent just the Sagnay. I have make camping in the largest  forests whive wilds animals: burns, eagles ....I have fisching in the wilds rivers and swimming in the lakes. I hope go to the Middle West in USA next time whive my wife. I like travels and holidays","I have visited Montreal , Quebec and remonted the St Laurent just the Sagnay.",A1
0430.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My family is happy , it is a beautiful family. In my family we are strongh serious , enjoy , every body is happy. their . My mather wonderfull woman. My family is wonderful family",My mather wonderfull woman.,A1
0002.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,My family is very small. I have a big borther. He is twenty three years old. He is a student.,He is twenty three years old.,A1
0426.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like sport. 3 times in week i run. I pratice a chinese martial art: this is the wing tchun, it's a style of kung-fu. When i have times i watch movies in cinema. I like go to visit another city and another country. when i have time i go on internet for listen musique.","I pratice a chinese martial art: this is the wing tchun, it's a style of kung-fu.",A1
0428.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Hello, I'm {name}. I have a big family: I have two parents, six sisters any brother but I have three brothers-in-law and one niece. My niece, her mother and the sister's husband live in Italy. I have also twenty-nine cousins and fourten uncle and tant",I have also twenty-nine cousins and fourten uncle and tant,A1
0452.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I was go to Canada in 1984 for holidays. I have 19 years old ,, it was very fantastic! Peoples are very cool ! I have visited Montreal , Quebec and remonted the St Laurent just the Sagnay. I have make camping in the largest  forests whive wilds animals: burns, eagles ....I have fisching in the wilds rivers and swimming in the lakes. I hope go to the Middle West in USA next time whive my wife. I like travels and holidays",I hope go to the Middle West in USA next time whive my wife.,A1
0455.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Idream to fly again to Moskow, where i was in holiday last year during two weeks. I maked many russains freinds, with them i visited many places like  the Red Square or the Lenin's Mausoleum. I spent a goed time there.I have been never see a nices metro stations like the Moskow Metro stations.They are wondeful !   In dispite  of my stay in Moskow,  i discovered  the russain style life, It's defferent from belguim.I don't know how explain that. People, there, are more simple then people here. Finaly and in conclusion, i advice evrybody to visit Moskow but firstly ,you must start  stady Russain language or English.","Finaly and in conclusion, i advice evrybody to visit Moskow but firstly ,you must start  stady Russain language or English.",A2
0504.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,Last year we went on holiday in France by car with my wife my sister in law and her husband. We were in the south where the sun was often over there. It was of the first of september when there were only a  few tourists. We visited the Perigord during ten days. Usually we walked in the small villages to discover the castels and the site where the view was beautiful. The evening we choosed a typical restaurant where the crowd was limited. The come back by car was  soft and the night was marvellous.  I hope you will understand what i wont explain to you.,Usually we walked in the small villages to discover the castels and the site where the view was beautiful.,A2
0446.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I was in holidays last year in morroco. I went there by plane and i come back by bus. With my cousin we went to the beach every day until the afternoon and we take a bath of sun. All evening we were doing tour by car and listening music it was so cool, we had enjoy a  lot. We are now waiting for the next holiday we are going to Málaga !",I was in holidays last year in morroco.,A2
0475.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"T iamagine my life in 10 years time ? I notice that everything is going faster and faster. A lot of things were changing during these last ten years. When i look back, it seems that tecnology is the most evoluting aspect. Everything goes faster and faster. Internet communication has a great influence on the daily life. I 'll be home-working, I'll speak with other people and I'll be informed from my own workspace. Virtual reality - science fiction - may be?",I notice that everything is going faster and faster.,A2
0046.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,In 10 years i will be an avocant. I hope and  will have 2 children. I will be riche because i will work hard. I will travel a lot in the world. I will retourn in Ethiopia and why not stay to live in there. In Ethiopia i will bult a lot bulding  for children. i hope so they will happy.,I hope and  will have 2 children.,A2
0427.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My hobbies are yoga because it's a good exercices psychic, physic and spirituel ; tennis and petanque for a pleasure. Are a good hobbies because i meet somes persons and give a strong moral. I dream to be yoga's teacher for  children. I like too to learn how to play guitare or harmonica. I find teacher  to assist me.",Are a good hobbies because i meet somes persons and give a strong moral.,A2
0015.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Last week was the easter break. The first real break in the university school. But that was not the only name of this break, the other is ""pre-blocus"" in french. Also, i'hve study the second week for be ready for my exam session in june. i've just three exam and a english test. I'have learn economy, semiology and english. i've keep the statistics for later. The first week i've just nothing to do. My friends was in vacation but not me. Eat, sleep, show movies and series is for me the best vacation. I've also start sport with jogging in my village but that was hard with the hill of my location.","Also, i'hve study the second week for be ready for my exam session in june. i've just three exam and a english test.",A2
0508.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"In the month of September, it was my friend's birthday, she was 60 years old. She doesn't want a special feast, then we decided to make a court trip, 3 days in Tyrol, at Lermoos, she and me and the two husbands. We have choiced a typical Hotel, a chalet in hood with vieuw on the mountain. The food was delicious. We have made an excursion in Garmich Partenkirchen to see the spring-board for ski jumping. It was famous. We also went to the top of the Mount Zugspitze with the cable. The vieuw was splendid. We have also visited the Linderhof castle. It was to short, but we have had many pleasure.",It was famous.,A2
0015.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Last week was the easter break. The first real break in the university school. But that was not the only name of this break, the other is ""pre-blocus"" in french. Also, i'hve study the second week for be ready for my exam session in june. i've just three exam and a english test. I'have learn economy, semiology and english. i've keep the statistics for later. The first week i've just nothing to do. My friends was in vacation but not me. Eat, sleep, show movies and series is for me the best vacation. I've also start sport with jogging in my village but that was hard with the hill of my location.",The first real break in the university school.,A2
0504.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,Last year we went on holiday in France by car with my wife my sister in law and her husband. We were in the south where the sun was often over there. It was of the first of september when there were only a  few tourists. We visited the Perigord during ten days. Usually we walked in the small villages to discover the castels and the site where the view was beautiful. The evening we choosed a typical restaurant where the crowd was limited. The come back by car was  soft and the night was marvellous.  I hope you will understand what i wont explain to you.,We visited the Perigord during ten days.,A2
0061.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Firstly In 10 years time, I hope that I'll be happy like today. I'll be the boss of my compagny. I hope that i'll be married and that i will explorate the world with my wife, I want to know all about the planet where i live.","I hope that i'll be married and that i will explorate the world with my wife, I want to know all about the planet where i live.",A2
0493.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Last year, I went to Antalya for ten days with my girlfriend. Antalya is a big region in the south of Turkije, very quiet and hot city. The people are very friendly and respectable. In the morning we took the breakfast at the hotel. After the breakfast we went every day for a few hours to relaxed in the swiming pool. Because it's too hot to go outside to walk in the afternoon! It was fourty degrees! Before dinner we did a little sport, we played voley beach and water polo, it was very nice. In the evenning we had shower en we went outisde the hotel to visit the city and walk. Very nice holiday, we go again to Turkije.",The people are very friendly and respectable.,A2
0134.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I think I will travel the world and visit the most beautiful areas of the world. But I find that with money it's too easy. If I want more adventure I have to meet the inhabitants of the country and walk in the nature. So, I will use the money for the plane ticket's and no for luxuous hostels. I have the project to visit south America because I have many friends in these country. They will be happy to offer me a home and to show me their country. I dream to walk in the historical Machu Pichu.","So, I will use the money for the plane ticket's and no for luxuous hostels.",A2
0472.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Every year, for 12 years, we go to the same club in Turkie. We know the animators and some customers who come every year as we. My best memory is the night of 21th July last year. We have clothes and accesories with the colors of Belgium and the atmosphere was fantastic. We always have fun there and we forget everything else.",We have clothes and accesories with the colors of Belgium and the atmosphere was fantastic.,A2
0463.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"How will be my life in 10 years. It's difficult to imagine. I can see my life with positive thoughts.I can dream that i shall speak English. I could travel in many countries. I could meet many various culture people.I could perhaps read english books. I love cinema. I prefer original version of movies.I can imagine understand  them; Today it's my goal in my life : to speak English. Later, i could imagine something . To learn an another language or climb a moutain. Why not ? all is possible.",I can see my life with positive thoughts.I can dream that i shall speak English.,A2
0001.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"everyday i get up at 8 a clock. I always turn my music on. To have a nice day. Firstly, i take my shower. In a second time I breakfast. Then i go to school. But that's depend about my timetable. I don't begin at 8h30 everday so sometimes I watch tv",Then i go to school.,A2
0011.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I've one brother and one sister, they are 14 and 4 years old. My mother is 41 years, she works for the communal house of Waterloo and my father is 51 years, he works in a restaurant in Brussel. My parents are separated since 10 years and now, I'm living by my mother. She has a new boyfriend since 5 years. This man has one son of 14 years and we're living in Waterloo. We're the happiest family.","My parents are separated since 10 years and now, I'm living by my mother.",A2
0493.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Last year, I went to Antalya for ten days with my girlfriend. Antalya is a big region in the south of Turkije, very quiet and hot city. The people are very friendly and respectable. In the morning we took the breakfast at the hotel. After the breakfast we went every day for a few hours to relaxed in the swiming pool. Because it's too hot to go outside to walk in the afternoon! It was fourty degrees! Before dinner we did a little sport, we played voley beach and water polo, it was very nice. In the evenning we had shower en we went outisde the hotel to visit the city and walk. Very nice holiday, we go again to Turkije.","Last year, I went to Antalya for ten days with my girlfriend.",A2
0482.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I remember me, the next year, I saw a beatiful girl. She speaks Italian and me French, we couldn't speak together but she didn't stop to watch to me, and me too ... I'm really tired because I know I could try something to kiss her but I didn't have the courage ... We I had to leave the aqualand, she comes and give me kiss on my cheek. I was really happy but I knew I'll never see her again. But I think to her occasionaly ! Her and her kiss ...",I'm really tired because I know I could try something to kiss her but I didn't have the courage ...,A2
0457.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"He {name},  I'am very happy to come home next week-end to celebrate your birthday. I asked to my friend {name}, the photograph to take some pictures during de the party. He is Ok.  {name} take the wonderful pictures.  Can you send him your adress please? Him number phone is {number}.  See you next week. Kiss.",Kiss.,A2
0475.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"T iamagine my life in 10 years time ? I notice that everything is going faster and faster. A lot of things were changing during these last ten years. When i look back, it seems that tecnology is the most evoluting aspect. Everything goes faster and faster. Internet communication has a great influence on the daily life. I 'll be home-working, I'll speak with other people and I'll be informed from my own workspace. Virtual reality - science fiction - may be?",Everything goes faster and faster.,A2
0490.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My life in 10 years time will be Happy !!! i hope !!!  I am already Grand-mother of one beautiful and lovely little girl and in a fews weeks , i will be still an happy Grand-mother for the second time !  My life in 10 years time will be happy with my little children !   i will travel around the world like ""Marie Popins"" for the see my lovely little girls...  Because , i have a american girl , she is born in San-Francisco and  my futur little girl will be born in London ...   i will need many money for to take often the airplane !  My life in 10 years time will be rich of Happinness with my little children ...  it' very enjoy to travel with my husband and with my children ! i like to visit the cities , the landscapes, de countries ...   i like to visit the museums, to eat at the restaurants and to discovery the news musics , the news paintings of the World...  i like also to speak English with the news peoples ...   i like also shopping !! but it is an expensive activity !!!  i hope to keep a good healthy for me and for my all family ...   i will need for ever my family around me ...   My favorite activity is to travel for to see my lovely children and my grandchildren ...  i can also achieve the beautiful things with my grandchildren ... i like painting with them or learning the news things ...  i like the life for ever !!!  As soon !  {name}","I am already Grand-mother of one beautiful and lovely little girl and in a fews weeks , i will be still an happy Grand-mother for the second time !",A2
0015.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Last week was the easter break. The first real break in the university school. But that was not the only name of this break, the other is ""pre-blocus"" in french. Also, i'hve study the second week for be ready for my exam session in june. i've just three exam and a english test. I'have learn economy, semiology and english. i've keep the statistics for later. The first week i've just nothing to do. My friends was in vacation but not me. Eat, sleep, show movies and series is for me the best vacation. I've also start sport with jogging in my village but that was hard with the hill of my location.","But that was not the only name of this break, the other is ""pre-blocus"" in french.",A2
0432.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like Athletics.I run three times a week in my club.My club is Seraing Athletics.But I have 2 or 3 other hobbies as video games and I play oudside with my friends.I really really like video games.I have a xbox 360 for play whith my games.And the last one is in summer I go to my city for play with my friends and speak the school,jobs,hobbies...","I like Athletics.I run three times a week in my club.My club is Seraing Athletics.But I have 2 or 3 other hobbies as video games and I play oudside with my friends.I really really like video games.I have a xbox 360 for play whith my games.And the last one is in summer I go to my city for play with my friends and speak the school,jobs,hobbies...",A2
0463.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"How will be my life in 10 years. It's difficult to imagine. I can see my life with positive thoughts.I can dream that i shall speak English. I could travel in many countries. I could meet many various culture people.I could perhaps read english books. I love cinema. I prefer original version of movies.I can imagine understand  them; Today it's my goal in my life : to speak English. Later, i could imagine something . To learn an another language or climb a moutain. Why not ? all is possible.",I prefer original version of movies.I can imagine understand  them; Today it's my goal in my life : to speak English.,A2
0024.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Last summer I went to Thailand with a volunteer organisation. I went to a orphanage, and the projet is to cleaning and painting this orphanage.","I went to a orphanage, and the projet is to cleaning and painting this orphanage.",A2
0011.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I've one brother and one sister, they are 14 and 4 years old. My mother is 41 years, she works for the communal house of Waterloo and my father is 51 years, he works in a restaurant in Brussel. My parents are separated since 10 years and now, I'm living by my mother. She has a new boyfriend since 5 years. This man has one son of 14 years and we're living in Waterloo. We're the happiest family.",This man has one son of 14 years and we're living in Waterloo.,A2
0438.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I get up with my children at zeven o'clock. I have a shower. I get dressed and I always have breakfast. I go to work in my bookshop from eight o'clock until zeven o'clock. In the evening, I do the children's homework, I cook.  I sometimes watch Tv and go to bed at eleven o'clock.",I sometimes watch Tv and go to bed at eleven o'clock.,A2
0419.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My hobbies are : cooking, gardening, sewing, learning chinese ( Mandarin), play with my grandchildren. I also like to improve my English language for example ""Memrise"" Chinese -  English. With ""Skritter"" reproduce caractères in Chinese.","My hobbies are : cooking, gardening, sewing, learning chinese ( Mandarin), play with my grandchildren.",A2
0051.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"Two years ago I gone in Thaïland for summer holidays. The travel during three weeks and I was with my family, my mom, my dad and my little brother. It was juste awnsome the landschaps was wonderful. We visited the nord of the thailand and of course Bankok the capitalcity. We past one week on a island called kho tao with white beach ans blue water like in a postcard. We simmed with elephant too it was a moment who I can't forget.",We visited the nord of the thailand and of course Bankok the capitalcity.,A2
0463.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"How will be my life in 10 years. It's difficult to imagine. I can see my life with positive thoughts.I can dream that i shall speak English. I could travel in many countries. I could meet many various culture people.I could perhaps read english books. I love cinema. I prefer original version of movies.I can imagine understand  them; Today it's my goal in my life : to speak English. Later, i could imagine something . To learn an another language or climb a moutain. Why not ? all is possible.",I love cinema.,A2
0425.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,I have a daugther .She is 13 years.  I have a sister who is 55 years . My mother is dead because she had a cancer. She was 71 years when she dead  My father live alone whith his little dog. I go to his house every day to take his news,She was 71 years when she dead  My father live alone whith his little dog.,A2
0429.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My hobby is learn and create a lot of things who ask me to use my creativity. For exemple, today I work on a project for a contest. I must make a demo actor's video. I feel very good, I feel alive when I'm doing this. I'm not actor or video fitter but I use google for help me to make everything.","I feel very good, I feel alive when I'm doing this.",A2
0419.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My hobbies are : cooking, gardening, sewing, learning chinese ( Mandarin), play with my grandchildren. I also like to improve my English language for example ""Memrise"" Chinese -  English. With ""Skritter"" reproduce caractères in Chinese.","I also like to improve my English language for example ""Memrise"" Chinese -  English.",A2
0481.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"In ten years time, my life will be easy! My children will be adults, so i could stop to work. Everyday, i will go to walk and after i could read a lot of books. I will go to travel too. I want to plant many flowers and trees. Sometimes, i'll go to see my friends and my sisters.","In ten years time, my life will be easy!",A2
